AFM Grain Size (?m),AFM Roughness (?m),Line Profile Std Dev (nm),Line Profile Mean (nm),Phase (Target)
1.198329742,0.105558568,0.155536068,2.485355496,0
0.598069005,0.077149252,0.267397129,1.863279942,1
0.837723436,0.109535968,0.304035083,2.692706864,2
1.002913195,0.100276533,0.496185908,1.248977871,0
0.855803604,0.098535955,0.481588843,2.079655866,1
0.882406419,0.114684719,0.127204037,2.040443244,2
1.029088542,0.114677682,0.452217589,2.625359506,0
0.533198531,0.12953629,0.237430786,2.568743384,1
0.849467421,0.123151546,0.119106781,2.564311286,2
0.92446102,0.082662745,0.355446642,1.726386284,0
0.586466677,0.055232697,0.310728222,2.419312925,1
0.866224956,0.092404388,0.262536911,1.440950847,2
0.791460293,0.124661665,0.479682063,1.969149331,0
0.87008724,0.087257681,0.196106476,1.13896112,1
1.316441321,0.089066136,0.159998543,2.072694475,2
0.659171033,0.133568327,0.463527831,1.548448269,0
0.645625316,0.06077892,0.456478471,1.653904287,1
0.572490194,0.077070924,0.291035744,1.482505477,2
0.863513782,0.105949147,0.368017798,1.39978583,0
1.464061488,0.12598394,0.29147528,1.158343216,1
0.973571211,0.110400885,0.278734302,1.744872407,2
1.068169807,0.094571219,0.474658054,1.360636065,0
1.22981518,0.10629555,0.346201896,2.985833811,1
0.517328627,0.051053011,0.311344015,1.344387954,2
0.800213058,0.124340199,0.240715396,2.143881904,0
1.229915787,0.106786604,0.325878299,1.997994417,1
0.624559731,0.090644243,0.407100921,2.586434959,2
0.537379718,0.057916447,0.467756695,1.662032807,0
0.910535377,0.071045162,0.275735735,2.829016085,1
1.067002957,0.145348893,0.373094752,1.715117685,2
1.455084936,0.065339098,0.450900723,2.94043524,0
1.340899352,0.142697662,0.460206121,1.18135401,1
1.400837445,0.10050698,0.357501793,2.014332769,2
0.838817504,0.067184287,0.107605441,1.836041224,0
1.019669426,0.10086266,0.352808324,1.916100571,1
0.637929449,0.067984251,0.27588191,2.374315118,2
1.355703754,0.128102787,0.334585957,1.945708043,0
1.048150247,0.141717209,0.428013136,2.271710276,1
1.439395558,0.061449627,0.249111513,2.31504602,2
1.072331753,0.057664815,0.137386607,1.38060127,0
0.973879327,0.146655413,0.308672596,1.286047311,1
1.465424107,0.135796034,0.169727685,2.091345409,2
1.047079762,0.11165396,0.22891881,1.360974459,0
1.377147371,0.147287679,0.246004426,2.621232159,1
0.925726396,0.128355894,0.249836046,1.793220205,2
0.640514307,0.121726722,0.126885198,1.642226127,0
1.090042208,0.074767872,0.219900315,1.335555088,1
0.543391025,0.083339041,0.187198989,1.340978999,2
0.791088419,0.050280235,0.190307954,1.734590511,0
0.546174589,0.124250436,0.355886918,2.177236296,1
1.177882383,0.087825335,0.239098643,2.518999775,2
0.629176253,0.12947939,0.10755278,2.675284286,0
0.764367405,0.090673079,0.192092611,1.392958384,1
1.421557724,0.131038196,0.408394677,2.326550995,2
0.950256311,0.148797755,0.148147556,2.585307653,0
1.284194028,0.083869907,0.177381676,1.22578736,1
0.621078237,0.0503705,0.31958188,2.917526049,2
0.601017853,0.129493567,0.327426385,2.956065272,0
1.190555566,0.078687819,0.213195418,1.647154558,1
1.329814014,0.057959493,0.206490506,1.086320333,2
0.754930551,0.066076519,0.459626931,2.74809748,0
1.015860224,0.082302439,0.166848224,2.475510482,1
1.352857182,0.089173406,0.142048787,2.977422763,2
0.809007738,0.137793164,0.130815337,1.125719279,0
1.014945784,0.05660383,0.213316043,1.044837729,1
0.582565125,0.086557178,0.200976235,2.850153682,2
